#Label: Total Execution Count
#Total: 0
#LineOp: sum
#ConcatOp: sum
#ContextOp: sum
#Description: Represents the number of execution of the code along the worst-case execution path.
1	00000f8c	40	[]
1	00000fb4	32	[]
1	00000fd4	4	[]
1	00000fd8	16	[]
1	00000fe8	4	[]
1	00000fec	16	[]
1	00000ffc	4	[]
1	00001000	16	[]
1	00001010	4	[]
1	00001014	12	[]
1	00000504	32	[FUN(00000f8c), CALL(00000fb0)]
1	00000524	4	[FUN(00000f8c), CALL(00000fb0)]
1	00000528	8	[FUN(00000f8c), CALL(00000fb0)]
1	00000538	12	[FUN(00000f8c), CALL(00000fb0)]
0	00000530	4	[FUN(00000f8c), CALL(00000fb0)]
0	00000534	4	[FUN(00000f8c), CALL(00000fb0)]
0	00000414	52	[FUN(00000f8c), CALL(00000fb0), FUN(00000504), CALL(00000530)]
1	000004c8	52	[FUN(00000f8c), CALL(00000fb0), FUN(00000504), CALL(00000524)]
1	00000e50	24	[FUN(00000f8c), CALL(00001010)]
1	00000e68	24	[FUN(00000f8c), CALL(00001010)]
1	00000e80	12	[FUN(00000f8c), CALL(00001010)]
1	00000e8c	48	[FUN(00000f8c), CALL(00001010)]
0	00000ebc	16	[FUN(00000f8c), CALL(00001010)]
0	00000ecc	20	[FUN(00000f8c), CALL(00001010)]
0	00000ee0	16	[FUN(00000f8c), CALL(00001010)]
0	00000ef0	24	[FUN(00000f8c), CALL(00001010)]
1	00000f68	8	[FUN(00000f8c), CALL(00001010)]
1	00000f08	24	[FUN(00000f8c), CALL(00001010)]
1	00000f20	16	[FUN(00000f8c), CALL(00001010)]
1	00000f30	20	[FUN(00000f8c), CALL(00001010)]
1	00000f44	16	[FUN(00000f8c), CALL(00001010)]
1	00000f54	20	[FUN(00000f8c), CALL(00001010)]
1	00000600	56	[FUN(00000f8c), CALL(00001010), FUN(00000e50), CALL(00000e7c)]
1	00000668	20	[FUN(00000f8c), CALL(00001010), FUN(00000e50), CALL(00000e7c)]
1	0000067c	40	[FUN(00000f8c), CALL(00001010), FUN(00000e50), CALL(00000e7c)]
0	00000638	48	[FUN(00000f8c), CALL(00001010), FUN(00000e50), CALL(00000e7c)]
1	00000548	60	[FUN(00000f8c), CALL(00001010), FUN(00000e50), CALL(00000e88)]
1	000005c0	20	[FUN(00000f8c), CALL(00001010), FUN(00000e50), CALL(00000e88)]
1	000005d4	40	[FUN(00000f8c), CALL(00001010), FUN(00000e50), CALL(00000e88)]
0	00000584	60	[FUN(00000f8c), CALL(00001010), FUN(00000e50), CALL(00000e88)]
1	00000cd0	24	[FUN(00000f8c), CALL(00000ffc)]
1	00000ce8	24	[FUN(00000f8c), CALL(00000ffc)]
1	00000d00	12	[FUN(00000f8c), CALL(00000ffc)]
1	00000d0c	40	[FUN(00000f8c), CALL(00000ffc)]
0	00000d34	16	[FUN(00000f8c), CALL(00000ffc)]
0	00000d44	20	[FUN(00000f8c), CALL(00000ffc)]
0	00000d58	16	[FUN(00000f8c), CALL(00000ffc)]
0	00000d68	24	[FUN(00000f8c), CALL(00000ffc)]
1	00000e2c	8	[FUN(00000f8c), CALL(00000ffc)]
1	00000d80	24	[FUN(00000f8c), CALL(00000ffc)]
1	00000d98	16	[FUN(00000f8c), CALL(00000ffc)]
1	00000da8	20	[FUN(00000f8c), CALL(00000ffc)]
1	00000dbc	16	[FUN(00000f8c), CALL(00000ffc)]
1	00000dcc	24	[FUN(00000f8c), CALL(00000ffc)]
0	00000de4	16	[FUN(00000f8c), CALL(00000ffc)]
0	00000df4	20	[FUN(00000f8c), CALL(00000ffc)]
0	00000e08	16	[FUN(00000f8c), CALL(00000ffc)]
0	00000e18	20	[FUN(00000f8c), CALL(00000ffc)]
1	00000600	56	[FUN(00000f8c), CALL(00000ffc), FUN(00000cd0), CALL(00000cfc)]
1	00000668	20	[FUN(00000f8c), CALL(00000ffc), FUN(00000cd0), CALL(00000cfc)]
1	0000067c	40	[FUN(00000f8c), CALL(00000ffc), FUN(00000cd0), CALL(00000cfc)]
0	00000638	48	[FUN(00000f8c), CALL(00000ffc), FUN(00000cd0), CALL(00000cfc)]
1	00000548	60	[FUN(00000f8c), CALL(00000ffc), FUN(00000cd0), CALL(00000d08)]
1	000005c0	20	[FUN(00000f8c), CALL(00000ffc), FUN(00000cd0), CALL(00000d08)]
1	000005d4	40	[FUN(00000f8c), CALL(00000ffc), FUN(00000cd0), CALL(00000d08)]
0	00000584	60	[FUN(00000f8c), CALL(00000ffc), FUN(00000cd0), CALL(00000d08)]
1	00000b20	24	[FUN(00000f8c), CALL(00000fe8)]
1	00000b38	24	[FUN(00000f8c), CALL(00000fe8)]
1	00000b50	12	[FUN(00000f8c), CALL(00000fe8)]
1	00000b5c	40	[FUN(00000f8c), CALL(00000fe8)]
0	00000b84	16	[FUN(00000f8c), CALL(00000fe8)]
0	00000b94	20	[FUN(00000f8c), CALL(00000fe8)]
0	00000ba8	16	[FUN(00000f8c), CALL(00000fe8)]
0	00000bb8	20	[FUN(00000f8c), CALL(00000fe8)]
0	00000bcc	16	[FUN(00000f8c), CALL(00000fe8)]
0	00000bdc	24	[FUN(00000f8c), CALL(00000fe8)]
1	00000ca8	8	[FUN(00000f8c), CALL(00000fe8)]
1	00000bf4	32	[FUN(00000f8c), CALL(00000fe8)]
